neighborhood,date,temperature,humidity,ID,ndvi,population_density,temp_norm,hum_norm,ndvi_norm,pop_norm,risk_score
Nayapalli,2026-05-12,34.5,94,Nayapalli,0.4044,116.500626,0.9556786703601108,0.9690721649484536,0.5463388273439611,0.8219800808132607,0.8312141518275951
Nayapalli,2026-05-13,34.4,93,Nayapalli,0.4044,116.500626,0.9529085872576176,0.9587628865979382,0.5463388273439611,0.8219800808132607,0.8280442629164946
Nayapalli,2026-05-14,35.2,94,Nayapalli,0.4044,116.500626,0.9750692520775623,0.9690721649484536,0.5463388273439611,0.8219800808132607,0.8389703845145757
Nayapalli,2026-05-15,35.9,92,Nayapalli,0.4044,116.500626,0.9944598337950138,0.9484536082474226,0.5463388273439611,0.8219800808132607,0.84260290586135
Nayapalli,2026-05-16,35.5,95,Nayapalli,0.4044,116.500626,0.9833795013850415,0.979381443298969,0.5463388273439611,0.8219800808132607,0.8443563399076703
VaniVihar,2026-05-10,32.7,96,VaniVihar,0.4530142857142857,59.33824,0.9058171745152355,0.9896907216494846,0.6120160574362141,0.4186660019364759,0.7215950030360434
VaniVihar,2026-05-11,33.7,93,VaniVihar,0.4530142857142857,59.33824,0.9335180055401663,0.9587628865979382,0.6120160574362141,0.4186660019364759,0.7264897684357066
VaniVihar,2026-05-12,34.5,94,VaniVihar,0.4530142857142857,59.33824,0.9556786703601108,0.9690721649484536,0.6120160574362141,0.4186660019364759,0.7374158900337874
VaniVihar,2026-05-13,34.4,93,VaniVihar,0.4530142857142857,59.33824,0.9529085872576176,0.9587628865979382,0.6120160574362141,0.4186660019364759,0.734246001122687
VaniVihar,2026-05-14,35.2,94,VaniVihar,0.4530142857142857,59.33824,0.9750692520775623,0.9690721649484536,0.6120160574362141,0.4186660019364759,0.745172122720768
VaniVihar,2026-05-15,35.9,92,VaniVihar,0.4530142857142857,59.33824,0.9944598337950138,0.9484536082474226,0.6120160574362141,0.4186660019364759,0.7488046440675424
VaniVihar,2026-05-16,35.5,95,VaniVihar,0.4530142857142857,59.33824,0.9833795013850415,0.979381443298969,0.6120160574362141,0.4186660019364759,0.7505580781138628
JaydevVihar,2026-05-10,32.7,94,JaydevVihar,0.3650142857142857,29.924091,0.9058171745152355,0.9690721649484536,0.49312927008144514,0.21113197055647895,0.6997418428907917
JaydevVihar,2026-05-11,33.9,92,JaydevVihar,0.3650142857142857,29.924091,0.9390581717451523,0.9484536082474226,0.49312927008144514,0.21113197055647895,0.7089145304425523
JaydevVihar,2026-05-12,34.5,94,JaydevVihar,0.3650142857142857,29.924091,0.9556786703601108,0.9690721649484536,0.49312927008144514,0.21113197055647895,0.7196864412287418
JaydevVihar,2026-05-13,34.3,93,JaydevVihar,0.3650142857142857,29.924091,0.9501385041551246,0.9587628865979382,0.49312927008144514,0.21113197055647895,0.7154085190766443
JaydevVihar,2026-05-14,35.3,94,JaydevVihar,0.3650142857142857,29.924091,0.9778393351800553,0.9690721649484536,0.49312927008144514,0.21113197055647895,0.7285507071567197
JaydevVihar,2026-05-15,36.1,93,JaydevVihar,0.3650142857142857,29.924091,1.0,0.9587628865979382,0.49312927008144514,0.21113197055647895,0.7353531174145944
JaydevVihar,2026-05-16,35.5,95,JaydevVihar,0.3650142857142857,29.924091,0.9833795013850415,0.979381443298969,0.49312927008144514,0.21113197055647895,0.7328286293088172
IRCVillage,2026-05-10,32.7,94,IRCVillage,0.6143428571428571,36.32722,0.9058171745152355,0.9690721649484536,0.8299687343189099,0.2563097921149462,0.641409514354992
IRCVillage,2026-05-11,33.9,92,IRCVillage,0.6143428571428571,36.32722,0.9390581717451523,0.9484536082474226,0.8299687343189099,0.2563097921149462,0.6505822019067526
IRCVillage,2026-05-12,34.5,94,IRCVillage,0.6143428571428571,36.32722,0.9556786703601108,0.9690721649484536,0.8299687343189099,0.2563097921149462,0.6613541126929422
IRCVillage,2026-05-13,34.3,93,IRCVillage,0.6143428571428571,36.32722,0.9501385041551246,0.9587628865979382,0.8299687343189099,0.2563097921149462,0.6570761905408447
IRCVillage,2026-05-14,35.3,94,IRCVillage,0.6143428571428571,36.32722,0.9778393351800553,0.9690721649484536,0.8299687343189099,0.2563097921149462,0.67021837862092
IRCVillage,2026-05-15,36.1,93,IRCVillage,0.6143428571428571,36.32722,1.0,0.9587628865979382,0.8299687343189099,0.2563097921149462,0.6770207888787948
IRCVillage,2026-05-16,35.5,95,IRCVillage,0.6143428571428571,36.32722,0.9833795013850415,0.979381443298969,0.8299687343189099,0.2563097921149462,0.6744963007730176
BapujiNagar,2026-05-10,32.7,96,BapujiNagar,0.5631285714285714,87.19978,0.9058171745152355,0.9896907216494846,0.7607789400548115,0.6152454683917197,0.7311583198033726
BapujiNagar,2026-05-11,33.7,93,BapujiNagar,0.5631285714285714,87.19978,0.9335180055401663,0.9587628865979382,0.7607789400548115,0.6152454683917197,0.7360530852030358
BapujiNagar,2026-05-12,34.5,94,BapujiNagar,0.5631285714285714,87.19978,0.9556786703601108,0.9690721649484536,0.7607789400548115,0.6152454683917197,0.7469792068011166
BapujiNagar,2026-05-13,34.4,93,BapujiNagar,0.5631285714285714,87.19978,0.9529085872576176,0.9587628865979382,0.7607789400548115,0.6152454683917197,0.7438093178900163
BapujiNagar,2026-05-14,35.2,94,BapujiNagar,0.5631285714285714,87.19978,0.9750692520775623,0.9690721649484536,0.7607789400548115,0.6152454683917197,0.7547354394880973
BapujiNagar,2026-05-15,35.9,92,BapujiNagar,0.5631285714285714,87.19978,0.9944598337950138,0.9484536082474226,0.7607789400548115,0.6152454683917197,0.7583679608348717
BapujiNagar,2026-05-16,35.5,95,BapujiNagar,0.5631285714285714,87.19978,0.9833795013850415,0.979381443298969,0.7607789400548115,0.6152454683917197,0.760121394881192
